"datasets/ontologies/model(BigModel(toOntology).csv 0).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
9,15,9,10,16,Recreation_Run
9,20,1,10,16,Recreation_Run
9,38,10,10,16,Recreation_Run
10,51,10,10,16,Recreation_Run
10,97,10,10,16,Recreation_Run
11,3,10,10,16,Recreation_Run
11,79,10,10,16,Recreation_Run
12,16,10,10,16,Recreation_Run
12,20,9,10,16,Recreation_Run
12,92,1,10,16,Recreation_Run
13,24,10,10,16,Recreation_Run
13,80,10,10,16,Recreation_Run
14,94,10,10,16,Recreation_Run
14,96,10,10,16,Recreation_Run
15,3,10,10,16,Recreation_Run
15,52,10,10,16,Recreation_Run
16,16,10,10,16,Recreation_Run
16,98,10,10,16,Recreation_Run
17,26,10,10,16,Recreation_Run
17,74,1,10,16,Recreation_Run
17,107,1,10,16,Recreation_Run
18,0,1,10,16,Recreation_Run
18,25,10,10,16,Recreation_Run
19,42,9,10,16,Recreation_Run
19,64,10,10,16,Recreation_Run
20,10,8,10,16,Recreation_Run
20,23,10,10,16,Recreation_Run
21,26,5,10,16,Recreation_Run
21,45,1,10,16,Recreation_Run
21,48,9,10,16,Recreation_Run
22,13,1,10,16,Recreation_Run
22,26,1,10,16,Recreation_Run
22,76,7,10,16,Recreation_Run
23,39,5,10,16,Recreation_Run
23,43,5,10,16,Recreation_Run
23,69,1,10,16,Recreation_Run
