"datasets/ontologies/model(BigModel(toOntology).csv 0).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
12,35,1,7,15,Recreation_Run
12,65,3,7,15,Recreation_Run
12,70,1,7,15,Recreation_Run
12,82,1,7,15,Recreation_Run
13,26,1,7,15,Recreation_Run
13,40,4,7,15,Recreation_Run
13,44,2,7,15,Recreation_Run
13,55,2,7,15,Recreation_Run
13,56,1,7,15,Recreation_Run
13,74,1,7,15,Recreation_Run
13,96,3,7,15,Recreation_Run
14,1,3,7,15,Recreation_Run
14,11,1,7,15,Recreation_Run
14,43,2,7,15,Recreation_Run
14,47,3,7,15,Recreation_Run
14,57,1,7,15,Recreation_Run
14,73,1,7,15,Recreation_Run
14,91,1,7,15,Recreation_Run
15,4,1,7,15,Recreation_Run
15,16,4,7,15,Recreation_Run
15,28,1,7,15,Recreation_Run
15,44,4,7,15,Recreation_Run
15,94,2,7,15,Recreation_Run
16,0,2,7,15,Recreation_Run
16,46,1,7,15,Recreation_Run
16,64,1,7,15,Recreation_Run
16,70,2,7,15,Recreation_Run
16,79,1,7,15,Recreation_Run
16,104,1,7,15,Recreation_Run
17,2,1,7,15,Recreation_Run
17,8,2,7,15,Recreation_Run
17,25,1,7,15,Recreation_Run
17,48,1,7,15,Recreation_Run
17,95,1,7,15,Recreation_Run
17,103,2,7,15,Recreation_Run
17,105,3,7,15,Recreation_Run
18,32,1,7,15,Recreation_Run
18,54,1,7,15,Recreation_Run
18,56,1,7,15,Recreation_Run
18,64,2,7,15,Recreation_Run
18,66,2,7,15,Recreation_Run
18,78,2,7,15,Recreation_Run
19,8,2,7,15,Recreation_Run
19,9,1,7,15,Recreation_Run
19,51,3,7,15,Recreation_Run
19,65,2,7,15,Recreation_Run
19,70,2,7,15,Recreation_Run
19,71,1,7,15,Recreation_Run
19,81,2,7,15,Recreation_Run
20,1,2,7,15,Recreation_Run
20,46,2,7,15,Recreation_Run
20,74,2,7,15,Recreation_Run
20,93,1,7,15,Recreation_Run
20,97,3,7,15,Recreation_Run
20,102,2,7,15,Recreation_Run
20,109,2,7,15,Recreation_Run
21,11,1,7,15,Recreation_Run
21,12,3,7,15,Recreation_Run
21,20,3,7,15,Recreation_Run
21,27,2,7,15,Recreation_Run
21,47,2,7,15,Recreation_Run
21,74,2,7,15,Recreation_Run
22,11,2,7,15,Recreation_Run
22,16,2,7,15,Recreation_Run
22,38,2,7,15,Recreation_Run
22,58,1,7,15,Recreation_Run
22,82,2,7,15,Recreation_Run
22,89,1,7,15,Recreation_Run
23,2,1,7,15,Recreation_Run
23,31,1,7,15,Recreation_Run
23,38,2,7,15,Recreation_Run
23,58,1,7,15,Recreation_Run
23,89,1,7,15,Recreation_Run
23,106,1,7,15,Recreation_Run
24,29,1,7,15,Recreation_Run
24,37,1,7,15,Recreation_Run
25,27,1,7,15,Recreation_Run
25,41,1,7,15,Recreation_Run
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 16).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,52,1,8,16,Recreation_Run
0,91,1,8,16,Recreation_Run
1,70,1,8,16,Recreation_Run
1,89,1,8,16,Recreation_Run
1,96,2,8,16,Recreation_Run
2,41,1,8,16,Recreation_Run
2,42,1,8,16,Recreation_Run
2,58,1,8,16,Recreation_Run
2,67,1,8,16,Recreation_Run
3,62,1,8,16,Recreation_Run
3,73,1,8,16,Recreation_Run
4,45,1,8,16,Recreation_Run
4,100,5,8,16,Recreation_Run
5,21,2,8,16,Recreation_Run
5,22,1,8,16,Recreation_Run
5,27,1,8,16,Recreation_Run
5,28,6,8,16,Recreation_Run
6,11,2,8,16,Recreation_Run
6,23,5,8,16,Recreation_Run
6,98,7,8,16,Recreation_Run
7,33,8,8,16,Recreation_Run
7,98,8,8,16,Recreation_Run
8,55,1,8,16,Recreation_Run
8,69,7,8,16,Recreation_Run
8,95,8,8,16,Recreation_Run
9,15,7,8,16,Recreation_Run
9,20,1,8,16,Recreation_Run
9,38,8,8,16,Recreation_Run
10,51,8,8,16,Recreation_Run
10,97,8,8,16,Recreation_Run
11,3,8,8,16,Recreation_Run
11,79,8,8,16,Recreation_Run
12,16,8,8,16,Recreation_Run
12,20,7,8,16,Recreation_Run
12,92,1,8,16,Recreation_Run
13,24,8,8,16,Recreation_Run
13,80,8,8,16,Recreation_Run
14,94,8,8,16,Recreation_Run
14,96,8,8,16,Recreation_Run
15,3,8,8,16,Recreation_Run
15,52,8,8,16,Recreation_Run
16,16,8,8,16,Recreation_Run
16,98,8,8,16,Recreation_Run
17,26,8,8,16,Recreation_Run
17,74,1,8,16,Recreation_Run
17,107,1,8,16,Recreation_Run
18,0,1,8,16,Recreation_Run
18,25,8,8,16,Recreation_Run
19,42,7,8,16,Recreation_Run
19,64,8,8,16,Recreation_Run
20,10,7,8,16,Recreation_Run
20,23,8,8,16,Recreation_Run
21,26,4,8,16,Recreation_Run
21,45,1,8,16,Recreation_Run
21,48,7,8,16,Recreation_Run
22,13,1,8,16,Recreation_Run
22,26,1,8,16,Recreation_Run
22,76,6,8,16,Recreation_Run
23,39,4,8,16,Recreation_Run
23,43,4,8,16,Recreation_Run
23,69,1,8,16,Recreation_Run
24,21,4,8,16,Recreation_Run
24,29,1,8,16,Recreation_Run
24,52,5,8,16,Recreation_Run
25,71,1,8,16,Recreation_Run
25,89,1,8,16,Recreation_Run
25,93,1,8,16,Recreation_Run
26,6,1,8,16,Recreation_Run
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 17).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,32,1,7,17,Recreation_Run
0,35,3,7,17,Recreation_Run
0,86,3,7,17,Recreation_Run
1,31,1,7,17,Recreation_Run
1,47,1,7,17,Recreation_Run
1,63,1,7,17,Recreation_Run
1,87,5,7,17,Recreation_Run
2,10,2,7,17,Recreation_Run
2,16,1,7,17,Recreation_Run
2,37,3,7,17,Recreation_Run
2,47,5,7,17,Recreation_Run
2,78,1,7,17,Recreation_Run
2,92,1,7,17,Recreation_Run
3,9,4,7,17,Recreation_Run
3,31,1,7,17,Recreation_Run
3,38,1,7,17,Recreation_Run
3,72,3,7,17,Recreation_Run
4,11,3,7,17,Recreation_Run
4,81,3,7,17,Recreation_Run
4,83,4,7,17,Recreation_Run
4,90,4,7,17,Recreation_Run
5,59,2,7,17,Recreation_Run
5,88,3,7,17,Recreation_Run
5,91,4,7,17,Recreation_Run
6,0,4,7,17,Recreation_Run
6,36,2,7,17,Recreation_Run
6,45,4,7,17,Recreation_Run
6,95,1,7,17,Recreation_Run
7,6,1,7,17,Recreation_Run
7,14,5,7,17,Recreation_Run
7,41,1,7,17,Recreation_Run
7,54,4,7,17,Recreation_Run
8,2,5,7,17,Recreation_Run
8,64,2,7,17,Recreation_Run
8,79,1,7,17,Recreation_Run
8,93,4,7,17,Recreation_Run
9,1,5,7,17,Recreation_Run
9,5,5,7,17,Recreation_Run
9,40,1,7,17,Recreation_Run
10,4,2,7,17,Recreation_Run
10,12,3,7,17,Recreation_Run
10,31,4,7,17,Recreation_Run
10,62,4,7,17,Recreation_Run
10,82,1,7,17,Recreation_Run
11,11,2,7,17,Recreation_Run
11,55,1,7,17,Recreation_Run
11,73,5,7,17,Recreation_Run
11,93,4,7,17,Recreation_Run
12,13,2,7,17,Recreation_Run
12,52,1,7,17,Recreation_Run
12,69,4,7,17,Recreation_Run
12,70,5,7,17,Recreation_Run
13,49,2,7,17,Recreation_Run
13,75,5,7,17,Recreation_Run
13,83,5,7,17,Recreation_Run
14,59,1,7,17,Recreation_Run
